Aircraft_ID,Airline_ID,Aircraft_Type,Manufacture_Year,Seat_Capacity
AC001,AL003,Airbus A350,2009,325
AC002,AL003,Airbus A330,2020,300
AC003,AL007,Boeing 777-300,2017,396
AC004,AL002,Airbus A320,2024,180
AC005,AL004,Airbus A350,2011,325
AC006,AL010,Airbus A330,2011,300
AC007,AL007,Airbus A330,2019,300
AC008,AL002,Airbus A330,2015,300
AC009,AL001,Boeing 787-9,2017,296
AC010,AL002,Boeing 777-300,2010,396
AC011,AL010,Airbus A330,2011,300
AC012,AL001,Boeing 737-800,2019,189
AC013,AL001,Airbus A350,2011,325
AC014,AL010,Airbus A350,2014,325
AC015,AL004,Boeing 777-300,2017,396
AC016,AL005,Boeing 737-800,2022,189
AC017,AL001,Boeing 787-9,2014,296
AC018,AL001,Boeing 737-800,2014,189
AC019,AL005,Boeing 787-9,2020,296
AC020,AL002,Boeing 777-300,2014,396
AC021,AL008,Airbus A350,2022,325
AC022,AL004,Airbus A330,2018,300
AC023,AL003,Airbus A320,2011,180
AC024,AL005,Boeing 787-9,2011,296
AC025,AL008,Boeing 787-9,2009,296
AC026,AL003,Boeing 737-800,2023,189
AC027,AL005,Airbus A350,2021,325
AC028,AL009,Boeing 787-9,2024,296
AC029,AL001,Airbus A321,2013,220
AC030,AL008,Airbus A350,2016,325
AC031,AL010,Airbus A330,2021,300
AC032,AL004,Boeing 777-300,2022,396
AC033,AL005,Airbus A321,2023,220
AC034,AL007,Airbus A330,2016,300
AC035,AL002,Boeing 737-800,2021,189
AC036,AL006,Airbus A320,2008,180
AC037,AL007,Airbus A321,2011,220
AC038,AL003,Boeing 737-800,2009,189
AC039,AL002,Airbus A330,2012,300
AC040,AL009,Airbus A321,2015,220
