Flight_ID,Flight_Date,Airline_ID,Aircraft_ID,Origin_Airport_ID,Destination_Airport_ID,Scheduled_Departure,Actual_Departure,Delay_Minutes,Delay_Reason,Status,Flight_Duration_Min,Distance_KM,Seat_Capacity,Passengers,Base_Fare_USD,Revenue_USD,Load_Factor_%,Season
FL00001,2023-03-02,AL002,AC013,AP013,AP027,2023-03-02 15:00:00,2023-03-02 15:11:00,11.0,Security,Delayed,647,1322,325,219,361.0,79059,67.38461538461539,Spring
FL00002,2023-11-18,AL009,AC036,AP010,AP006,2023-11-18 22:30:00,2023-11-18 22:36:00,6.0,Technical,Delayed,603,5627,180,131,624.0,81744,72.77777777777777,Autumn
FL00003,2025-02-05,AL002,AC019,AP022,AP009,2025-02-05 19:30:00,2025-02-05 19:30:00,0.0,No Delay,On Time,262,2326,296,225,541.0,121725,76.01351351351352,Winter
FL00004,2023-11-20,AL004,AC012,AP024,AP030,2023-11-20 13:00:00,2023-11-20 13:12:00,12.0,Late Aircraft,Delayed,354,1407,189,163,469.0,76447,86.24338624338624,Autumn
FL00005,2025-03-30,AL003,AC023,AP023,AP016,2025-03-30 08:15:00,2025-03-30 08:25:00,10.0,Late Aircraft,Delayed,207,2646,180,178,214.0,38092,98.88888888888889,Spring
FL00006,2025-09-25,AL008,AC008,AP005,AP016,2025-09-25 12:15:00,2025-09-25 12:29:00,14.0,Technical,Delayed,653,3954,300,212,293.0,62116,70.66666666666667,Autumn
FL00007,2023-03-30,AL001,AC040,AP007,AP022,2023-03-30 08:15:00,2023-03-30 08:22:00,7.0,Crew,Delayed,618,3453,220,166,222.0,36852,75.45454545454545,Spring
FL00008,2024-02-17,AL001,AC004,AP002,AP001,2024-02-17 20:30:00,2024-02-17 23:10:00,160.0,Late Aircraft,Severely Delayed,559,3586,180,154,395.0,60830,85.55555555555556,Winter
FL00009,2023-12-07,AL010,AC036,AP028,AP020,2023-12-07 10:45:00,2023-12-07 10:46:00,1.0,Weather,Delayed,302,7358,180,112,553.0,61936,62.22222222222222,Winter
FL00010,2024-05-11,AL001,AC016,AP015,AP018,2024-05-11 05:45:00,2024-05-11 05:53:00,8.0,Security,Delayed,341,6204,189,122,303.0,36966,64.55026455026454,Spring
FL00011,2024-04-25,AL004,AC035,AP002,AP030,2024-04-25 18:00:00,2024-04-25 18:49:00,49.0,Crew,Delayed,677,5347,189,133,266.0,35378,70.37037037037037,Spring
FL00012,2024-02-29,AL008,AC025,AP020,AP009,2024-02-29 07:15:00,2024-02-29 08:39:00,84.0,Crew,Delayed,113,6515,296,253,630.0,159390,85.47297297297297,Winter
FL00013,2025-06-03,AL007,AC039,AP009,AP007,2025-06-03 07:00:00,2025-06-03 09:18:00,138.0,Security,Severely Delayed,385,5895,300,285,426.0,121410,95.0,Summer
FL00014,2025-02-01,AL001,AC040,AP012,AP023,2025-02-01 08:45:00,2025-02-01 08:53:00,8.0,Air Traffic,Delayed,635,5253,220,180,249.0,44820,81.81818181818183,Winter
FL00015,2025-08-17,AL001,AC022,AP013,AP015,2025-08-17 17:00:00,2025-08-17 17:02:00,2.0,Air Traffic,Delayed,178,1802,300,215,192.0,41280,71.66666666666667,Summer
FL00016,2023-02-28,AL003,AC019,AP001,AP006,2023-02-28 10:15:00,2023-02-28 10:22:00,7.0,Security,Delayed,533,1638,296,259,379.0,98161,87.5,Winter
FL00017,2023-03-19,AL007,AC011,AP028,AP006,2023-03-19 07:45:00,2023-03-19 07:58:00,13.0,Technical,Delayed,409,359,300,188,550.0,103400,62.66666666666667,Spring
FL00018,2023-01-09,AL004,AC020,AP013,AP029,2023-01-09 18:45:00,2023-01-09 18:50:00,5.0,Security,Cancelled,90,8037,396,0,185.0,0,0.0,Winter
FL00019,2024-01-26,AL007,AC033,AP004,AP023,2024-01-26 06:00:00,2024-01-26 07:41:00,101.0,Weather,Delayed,629,526,220,173,430.0,74390,78.63636363636364,Winter
FL00020,2025-12-25,AL002,AC018,AP005,AP009,2025-12-25 15:00:00,2025-12-25 16:54:00,114.0,Security,Delayed,406,2712,189,185,449.0,83065,97.88359788359789,Winter
FL00021,2024-07-06,AL009,AC030,AP028,AP027,2024-07-06 06:45:00,2024-07-06 06:53:00,8.0,Technical,Delayed,369,6241,325,251,622.0,156122,77.23076923076924,Summer
FL00022,2024-04-05,AL008,AC010,AP019,AP018,2024-04-05 15:00:00,2024-04-05 15:12:00,12.0,Weather,Delayed,229,1330,396,325,411.0,133575,82.07070707070707,Spring
FL00023,2024-09-27,AL001,AC008,AP004,AP023,2024-09-27 07:15:00,2024-09-27 07:24:00,9.0,Technical,Delayed,609,5621,300,168,614.0,103152,56.00000000000001,Autumn
FL00024,2023-05-16,AL005,AC032,AP015,AP020,2023-05-16 19:45:00,2023-05-16 19:59:00,14.0,Weather,Delayed,393,5736,396,259,326.0,84434,65.40404040404042,Spring
FL00025,2025-02-20,AL002,AC003,AP010,AP007,2025-02-20 22:30:00,2025-02-20 22:32:00,2.0,Weather,Delayed,230,1848,396,291,405.0,117855,73.48484848484848,Winter
FL00026,2025-02-02,AL005,AC027,AP028,AP027,2025-02-02 16:15:00,2025-02-02 16:34:00,19.0,Air Traffic,Delayed,361,1773,325,312,267.0,83304,96.0,Winter
FL00027,2024-04-16,AL009,AC037,AP020,AP019,2024-04-16 10:30:00,2024-04-16 10:35:00,5.0,Weather,Delayed,674,3850,220,174,383.0,66642,79.0909090909091,Spring
FL00028,2024-07-29,AL009,AC016,AP012,AP021,2024-07-29 06:00:00,2024-07-29 06:08:00,8.0,Crew,Delayed,656,8054,189,155,157.0,24335,82.01058201058201,Summer
